iter	Passed	Remaining
703	8461	3557
704	8473	3545
705	8482	3532
706	8495	3520
707	8508	3509
708	8521	3497
709	8532	3485
710	8543	3472
711	8555	3460
712	8565	3447
713	8575	3434
714	8585	3422
715	8598	3410
716	8613	3399
717	8626	3388
718	8637	3375
719	8648	3363
720	8661	3351
721	8672	3339
722	8684	3327
723	8694	3314
724	8705	3302
725	8715	3289
726	8725	3276
727	8736	3264
728	8746	3251
729	8757	3238
730	8767	3226
731	8776	3213
732	8785	3200
733	8794	3187
734	8805	3174
735	8814	3161
736	8823	3148
737	8834	3136
738	8843	3123
739	8852	3110
740	8862	3097
741	8872	3085
742	8883	3072
743	8894	3060
744	8904	3047
745	8915	3035
746	8927	3023
747	8939	3011
748	8951	2999
749	8961	2987
750	8971	2974
751	8981	2962
752	8990	2949
753	9001	2936
754	9012	2924
755	9023	2912
756	9033	2899
757	9043	2887
758	9054	2874
759	9066	2862
760	9076	2850
761	9088	2838
762	9098	2826
763	9108	2813
764	9119	2801
765	9132	2789
766	9143	2777
767	9157	2766
768	9173	2755
769	9187	2744
770	9203	2733
771	9221	2723
772	9238	2713
773	9255	2702
774	9270	2691
775	9285	2680
776	9295	2667
777	9306	2655
778	9320	2644
779	9333	2632
780	9345	2620
781	9357	2608
782	9369	2596
783	9388	2586
784	9406	2576
785	9426	2566
786	9443	2555
787	9459	2544
788	9472	2533
789	9487	2521
790	9499	2510
791	9512	2498
792	9522	2485
793	9531	2473
794	9543	2460
795	9553	2448
796	9564	2436
797	9576	2424
798	9588	2412
799	9598	2399
800	9610	2387
801	9620	2375
802	9630	2362
803	9643	2351
804	9655	2338
805	9666	2326
806	9678	2314
807	9690	2302
808	9703	2290
809	9717	2279
810	9727	2266
811	9739	2254
812	9749	2242
813	9760	2230
814	9773	2218
815	9784	2206
816	9795	2194
817	9811	2183
818	9826	2171
819	9843	2160
820	9857	2149
821	9869	2137
822	9881	2125
823	9891	2112
824	9904	2100
825	9914	2088
826	9924	2076
827	9935	2063
828	9948	2052
829	9959	2039
830	9970	2027
831	9985	2016
832	9999	2004
833	10010	1992
834	10024	1980
835	10037	1969
836	10049	1957
837	10058	1944
838	10069	1932
839	10080	1920
840	10092	1908
841	10103	1895
842	10115	1883
843	10128	1872
844	10142	1860
845	10154	1848
846	10169	1836
847	10179	1824
848	10191	1812
849	10201	1800
850	10211	1787
851	10223	1775
852	10234	1763
853	10245	1751
854	10258	1739
855	10271	1727
856	10280	1715
857	10293	1703
858	10304	1691
859	10313	1678
860	10322	1666
861	10334	1654
862	10344	1642
863	10354	1629
864	10366	1617
865	10378	1605
866	10389	1593
867	10399	1581
868	10410	1569
869	10419	1556
870	10430	1544
871	10441	1532
872	10453	1520
873	10464	1508
874	10473	1496
875	10482	1483
876	10493	1471
877	10503	1459
878	10514	1447
879	10526	1435
880	10536	1423
881	10546	1410
882	10557	1398
883	10567	1386
884	10579	1374
885	10588	1362
886	10600	1350
887	10608	1338
888	10617	1325
889	10629	1313
890	10638	1301
891	10648	1289
892	10660	1277
893	10669	1265
894	10680	1253
895	10692	1241
896	10706	1229
897	10717	1217
898	10727	1205
899	10739	1193
900	10751	1181
901	10763	1169
902	10777	1157
903	10787	1145
904	10801	1133
905	10811	1121
906	10822	1109
907	10833	1097
908	10844	1085
909	10857	1073
910	10869	1061
911	10878	1049
912	10890	1037
913	10900	1025
914	10910	1013
915	10923	1001
916	10934	989
917	10947	977
918	10959	965
919	10973	954
920	10987	942
921	11003	930
922	11019	919
923	11034	907
924	11051	896
925	11062	884
926	11072	871
927	11083	859
928	11093	847
929	11106	835
930	11117	823
931	11130	812
932	11140	800
933	11151	788
934	11165	776
935	11175	764
936	11184	751
937	11197	740
938	11206	727
939	11217	715
940	11228	704
941	11240	692
942	11252	680
943	11264	668
944	11273	656
945	11284	644
946	11294	632
947	11303	620
948	11317	608
949	11328	596
950	11337	584
951	11348	572
952	11358	560
953	11371	548
954	11382	536
955	11392	524
956	11405	512
957	11417	500
958	11427	488
959	11439	476
